City,Country,Lat,Lng,Cloudiness (%),Humidity (%),Max Temp (°F),Wind Speed (mph),Date
Tshane,BW,-24.0196,21.8684,0,28,53.91,8.39,1627592974
Constitución,CL,-35.3333,-72.4167,0,68,56.32,3.49,1627592756
De Aar,ZA,-30.6497,24.0123,0,37,43.88,1.86,1627592975
Vardø,NO,70.3705,31.1107,75,87,44.58,0.0,1627592976
Columbus,US,39.9612,-82.9988,90,91,85.8,10.36,1627592838
Neuquén,AR,-38.9516,-68.0591,0,37,66.09,0.0,1627592957
Abū Zabad,SD,12.35,29.25,99,65,82.26,12.1,1627592979
Poconé,BR,-16.2567,-56.6228,2,15,72.61,7.61,1627592980
Nantucket,US,41.2835,-70.0995,40,70,72.01,18.41,1627592812
Avanigadda,IN,16.0215,80.9181,100,57,85.75,10.56,1627592981
St Albans,GB,51.75,-0.3333,0,72,63.45,4.61,1627592982
Walvis Bay,NA,-22.9575,14.5053,0,43,56.08,5.26,1627592983
Sisimiut,GL,66.9395,-53.6735,89,65,51.35,2.77,1627592984
Myre,NO,69.1036,15.9492,45,89,49.95,24.61,1627592985
Makīnsk,KZ,52.6292,70.4169,0,61,43.41,1.43,1627592985
Bulawayo,ZW,-20.15,28.5833,68,47,53.26,7.85,1627592987
Bridlington,GB,54.0831,-0.1919,72,84,60.98,16.78,1627592988
Qaqortoq,GL,60.7167,-46.0333,66,82,57.7,8.72,1627592989
Seminole,US,28.7086,-81.2081,90,83,86.05,13.8,1627592990
Black River,JM,18.0264,-77.8487,49,67,86.0,15.39,1627592990
Manoel Urbano,BR,-8.8389,-69.2597,0,28,82.15,4.94,1627592991
Kibaya,TZ,-5.3,36.5667,6,82,54.64,4.94,1627592992
Mercedes,AR,-34.6515,-59.4307,0,49,53.85,6.33,1627592993
Kirovskaya,RU,46.9748,40.0402,0,40,75.15,4.45,1627592994
Talnakh,RU,69.4865,88.3972,100,80,59.05,2.21,1627592995
Rafina,GR,38.0181,24.006,0,33,92.84,7.0,1627592996
Liverpool,GB,53.4106,-2.9779,20,74,60.69,2.3,1627592987
Assomada,CV,15.1,-23.6833,97,75,72.95,6.44,1627592998
Bherāmāra,BD,24.0232,88.9925,100,93,78.06,19.6,1627592998
Ajdabiya,LY,30.7554,20.2263,0,45,84.11,13.82,1627592999
Miraflores,MX,19.2167,-98.8083,98,63,75.96,3.69,1627593000
Solenzo,BF,12.1833,-4.0833,98,87,75.49,8.99,1627593004
Warrington,GB,53.3925,-2.5802,20,81,60.87,2.3,1627592723
Mocuba,MZ,-16.8392,36.9856,4,88,60.93,2.59,1627593006
Korla,CN,41.7597,86.1469,41,21,89.85,19.06,1627592839
Geraldton,AU,-28.7667,114.6,75,77,64.13,17.27,1627593007
Oktyabr'skiy,RU,54.4815,53.471,100,67,66.02,8.14,1627593008
Sungurlu,TR,40.1675,34.3739,0,48,63.1,5.12,1627593009
Sechura,PE,-5.5569,-80.8222,19,59,76.87,14.79,1627593010
Velyka Bahachka,UA,49.7912,33.7226,29,86,68.67,8.75,1627593011
Kyzyl-Suu,KG,42.3414,78.0056,100,87,60.89,5.82,1627593012
Tromsø,NO,69.6496,18.957,40,81,52.45,18.41,1627592778
Saint-François,FR,46.4154,3.9054,0,76,67.44,3.44,1627593013
Aswān,EG,24.0934,32.907,100,17,91.49,10.33,1627593014
Sørland,NO,67.667,12.6934,0,85,50.23,30.49,1627592769
Dori,BF,14.0354,-0.0345,49,53,86.18,11.81,1627593015
Kiruna,SE,67.8557,20.2251,90,71,52.72,3.44,1627593016
Messina,IT,38.1933,15.5497,0,46,86.74,5.75,1627593017
Sālūmbar,IN,24.1333,74.05,100,87,78.31,14.5,1627593018
Alta Floresta,BR,-9.8756,-56.0861,2,28,83.71,4.74,1627593019
Japura,ID,-0.3167,102.35,99,75,74.44,1.66,1627593020
General Roca,AR,-39.0333,-67.5833,0,19,66.6,10.58,1627593021
Damietta,EG,31.4165,31.8133,0,72,79.88,11.43,1627593022
Kjøllefjord,NO,70.9457,27.3465,100,84,44.38,5.86,1627593023
Wana,PK,32.2989,69.5725,26,75,77.61,3.18,1627592789
Uyuni,BO,-20.4597,-66.825,64,16,48.9,26.24,1627592834
Sharjah city,AE,25.3573,55.4033,100,42,98.89,4.61,1627593026
Mwene-Ditu,CD,-7.0,23.45,2,36,72.88,4.38,1627593027
Boende,CD,-0.2167,20.8667,49,43,74.97,0.96,1627593027
Biu,NG,10.6129,12.1946,100,90,70.11,1.9,1627593029
Namwala,ZM,-15.7504,26.4384,2,45,57.7,4.21,1627593031
Balvi,LV,57.1313,27.2658,66,92,62.13,5.03,1627593033
Klæbu,NO,63.2976,10.4826,94,85,64.63,4.03,1627593035
Trincomalee,LK,8.5711,81.2335,82,76,81.45,21.5,1627593036
Shache,CN,38.4167,77.2406,77,25,85.05,26.69,1627593037
Morant Bay,JM,17.8815,-76.4093,100,76,81.63,13.91,1627593038
Shubarshi,KZ,48.5872,57.1869,10,36,69.12,9.4,1627593039
Kindu,CD,-2.95,25.95,27,64,72.7,1.97,1627593039
Strezhevoy,RU,60.7333,77.5889,99,89,49.98,7.25,1627593040
Dordrecht,NL,51.81,4.6736,10,77,64.06,3.0,1627593041
Mehamn,NO,71.0357,27.8492,100,85,44.51,5.08,1627593042
Calama,CL,-22.4667,-68.9333,40,13,68.49,14.97,1627593043
Gainesville,US,29.6516,-82.3248,1,74,87.93,1.01,1627592943
Buritizeiro,BR,-17.3511,-44.9622,2,33,70.32,4.83,1627593044
Rzhishchëv,UA,49.9689,31.0463,2,91,75.06,9.06,1627593046
Khangarh,PK,29.9173,71.1618,25,54,91.47,6.87,1627593047
Morondava,MG,-20.2833,44.2833,84,72,72.45,14.38,1627593047
Marsabit,KE,2.3284,37.9899,72,59,65.37,23.87,1627593048
Qandala,SO,11.472,49.8728,30,50,89.82,14.52,1627592790
Dwārka,IN,22.2394,68.9678,95,84,82.04,26.51,1627593050
Beyneu,KZ,45.3167,55.2,6,23,81.81,6.78,1627593051
Marquette,US,46.5333,-87.6335,66,77,66.83,13.82,1627593052
Punta Gorda,US,26.9298,-82.0454,40,60,93.0,5.99,1627593052
Arivonimamo,MG,-19.0167,47.1833,92,82,51.85,10.67,1627593053
Plettenberg Bay,ZA,-34.0527,23.3716,25,78,54.28,4.32,1627593054
Ancud,CL,-41.8697,-73.8203,80,85,47.73,6.51,1627593055
Cotoca,BO,-17.8167,-63.05,100,18,66.06,5.79,1627593056
Raipur,IN,21.2333,81.6333,100,89,74.82,12.97,1627592932
Albany,US,42.6001,-73.9662,100,89,70.38,1.01,1627592757
Kumukh,RU,42.1704,47.1161,28,84,55.33,3.56,1627593058
Mugumu,TZ,-1.85,34.7,59,59,64.24,2.82,1627593059
Carnarvon,AU,-24.8667,113.6333,40,81,64.47,10.36,1627593060
Sidi Ali,DZ,36.0998,0.4206,58,84,74.05,9.06,1627593061
Jaleshwar,NP,26.6471,85.8008,100,89,79.25,12.3,1627593062
Nuuk,GL,64.1835,-51.7216,15,62,56.01,6.91,1627593062
Coyhaique,CL,-45.5752,-72.0662,90,50,51.75,14.97,1627593063
Nador,MA,35.174,-2.9287,0,88,75.45,4.61,1627593065
Algiers,DZ,36.7525,3.042,20,89,76.82,4.61,1627593013
Gamba,GA,-2.65,10.0,45,85,73.69,10.36,1627593066
Bezhta,RU,42.1338,46.1283,45,90,51.35,1.41,1627593068
Terryville,US,40.909,-73.0651,90,83,75.79,11.99,1627593068
Piranshahr,IR,36.701,45.1413,10,78,64.26,6.91,1627593069
Pimentel,PE,-6.8367,-79.9342,75,79,71.89,5.01,1627593072
Uch,FR,45.3192,-0.9345,0,80,70.29,6.31,1627593073
Raudeberg,NO,61.9875,5.1352,98,93,67.6,1.45,1627593074
Viedma,AR,-40.8135,-62.9967,0,28,58.28,9.69,1627593075
Inhambane,MZ,-23.865,35.3833,1,70,66.15,4.41,1627593075
Pokaran,IN,26.9167,71.9167,100,70,83.61,19.6,1627593076
Muisne,EC,0.6,-80.0333,92,79,76.6,11.27,1627593077
Endicott,US,42.0984,-76.0494,90,88,73.54,1.01,1627593078
Jaisalmer,IN,26.9147,70.9181,67,70,82.85,20.18,1627593079
Baoro,CF,5.6667,15.9667,99,93,68.2,2.1,1627593076
Ambalavao,MG,-21.8333,46.9333,100,91,58.5,4.45,1627593080
Front Royal,US,38.9182,-78.1944,1,82,86.83,0.0,1627593081
Lena,ES,43.1,-5.7333,50,97,66.96,2.62,1627593082
Lamu,KE,-2.2717,40.902,75,78,75.42,17.07,1627593083
Brewster,US,41.3973,-73.6171,90,90,74.3,1.01,1627593084
Andenes,NO,69.3143,16.1194,71,93,49.98,23.02,1627593085
Rehoboth,NA,-23.3167,17.0833,0,27,49.86,5.53,1627593086
Leningradskiy,RU,69.3833,178.4167,100,98,32.77,18.88,1627593087
Amapá,BR,1.0,-52.0,73,95,76.12,1.03,1627593088
Tazmalt,DZ,36.3868,4.3989,42,34,90.79,3.06,1627593088
Awjilah,LY,29.1081,21.2869,0,45,84.02,13.44,1627593089
Constantine,DZ,36.365,6.6147,22,37,84.52,1.83,1627593090
Midrand,ZA,-25.9636,28.1378,0,45,53.35,7.14,1627593091
Aleksandrov Gay,RU,50.147,48.5704,59,34,78.85,8.86,1627593092
Colborne,CA,44.0001,-77.8828,100,93,68.86,5.77,1627593093
Yorosso,ML,12.3536,-4.7761,92,87,74.48,8.23,1627593094
Banatski Karlovac,RS,45.0472,21.0161,4,51,76.93,5.79,1627593094
Anzio,IT,41.4853,12.6179,0,86,80.85,7.29,1627593095
Comodoro Rivadavia,AR,-45.8667,-67.5,0,20,64.26,6.91,1627592888
Severnyy,RU,50.677,36.5532,0,78,71.64,6.71,1627593097
Emba,KZ,48.8264,58.1442,12,33,71.6,8.01,1627593098
Great Yarmouth,GB,52.6083,1.7305,89,66,63.01,10.65,1627593099
Arraias,BR,-12.9288,-46.9437,15,28,77.72,3.78,1627593100
Nouadhibou,MR,20.931,-17.0347,100,91,69.39,19.37,1627593101
Carutapera,BR,-1.195,-46.02,34,88,77.81,8.12,1627593102
Três Lagoas,BR,-20.7511,-51.6783,7,18,55.83,6.6,1627593102
Tigzirt,DZ,36.8886,4.1198,56,67,81.19,4.85,1627593103
Atar,MR,20.5169,-13.0499,100,27,93.61,9.89,1627593104
San Carlos,VE,9.6612,-68.5827,78,87,79.72,1.52,1627593105
Berlevåg,NO,70.8578,29.0864,75,87,44.55,4.61,1627593106
Kifrī,IQ,34.6959,44.9661,0,16,93.49,2.17,1627592834
Ribas do Rio Pardo,BR,-20.4431,-53.7592,8,19,57.52,6.46,1627593108
Pteleos,GR,39.05,22.95,0,40,89.91,1.48,1627593110
Teguise,ES,29.0605,-13.564,20,78,68.22,20.71,1627593112
Belmonte,BR,-15.8631,-38.8828,3,89,75.7,4.99,1627593113
Charlestown,AU,-32.95,151.6667,0,72,45.68,5.99,1627593115
Manacapuru,BR,-3.2997,-60.6206,10,48,90.18,1.16,1627593117
Pedernales,DO,18.0384,-71.744,15,55,88.25,15.05,1627593118
Aquiraz,BR,-3.9014,-38.3911,70,83,80.69,9.82,1627593119
Nyrob,RU,60.733,56.7202,100,89,50.58,2.82,1627593120
Kāzerūn,IR,29.6195,51.6541,63,16,89.74,0.89,1627593121
Vestmannaeyjar,IS,63.4427,-20.2734,99,86,57.34,8.46,1627593122
Saint-Augustin,CA,51.226,-58.6502,99,55,60.67,13.82,1627593124
Kilembe,UG,0.2,30.0,88,68,64.89,2.46,1627593125
Telfs,AT,47.3,11.0667,67,97,67.48,0.74,1627593126
Barbastro,ES,42.0356,0.1269,0,59,79.86,2.82,1627593128
Bousso,TD,10.4795,16.7117,100,91,75.0,5.32,1627593129
Łęczyca,PL,52.0596,19.1997,54,62,71.15,6.31,1627593131
Randazzo,IT,37.8774,14.9501,0,30,79.88,2.13,1627593131
Ibrā’,OM,22.6906,58.5334,85,50,87.01,8.61,1627593132
Jinotega,NI,13.0917,-86.0018,59,60,77.79,8.5,1627593133
Mezen',RU,65.8522,44.24,54,84,46.02,5.82,1627593135
Kita,ML,13.0349,-9.4895,97,91,75.06,4.05,1627593135
Murgab,TM,37.4966,61.9714,3,37,79.36,11.7,1627593136
Działdowo,PL,53.2396,20.17,40,67,62.37,8.12,1627593066
Urengoy,RU,65.9667,78.3667,64,95,54.32,12.59,1627593138
Sajanan,TN,37.0573,9.2426,0,49,81.99,1.77,1627593138
Uvat,RU,59.1433,68.8953,45,99,43.54,6.11,1627593140
Tiznit Province,MA,29.5833,-9.5,3,43,81.05,3.53,1627593141
